time,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
1610496000,-4.2,35.5,2.7,-0.5,4.4,5.4,423,-1.9,-0.4,4.1,94744
1610499600,-4.2,35.6,1.5,-3.9,1.5,4.9,427,-0.4,1.8,4.3,93400
1610503200,-4.2,35.6,1.8,-1.5,-0.3,4.1,428,0.5,0.1,4.4,118775
1610506800,-4.2,35.7,1.4,-1,1.6,3.5,429,-0.4,0.2,4.2,117970
1610510400,-4.2,35.7,1.6,-1.1,1.2,4.7,425,-1.3,0.5,3.4,74873
1610514000,-4.3,35.8,5.2,-0.4,2.2,5.7,407,-2.1,0.2,2.6,43239
1610517600,-4.3,35.8,3.8,-2.4,-0.3,5.3,405,-1.3,0.8,3.9,60399
1610521200,-4.3,35.8,3.9,-2.5,-2,6,407,-0.6,0.7,3.8,52127
1610524800,-4.3,35.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610528400,-4.3,35.9,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610532000,-4.3,36,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610535600,-4.3,36,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610539200,-4.3,36,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610542800,-4.3,36.1,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610546400,-4.3,36.1,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610550000,-4.3,36.2,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1610553600,-4.3,36.2,3.7,-1.1,-1.1,4,395,-4.2,-0.6,4.3,58950
1610557200,-4.3,36.3,3.6,-1.3,-0.1,3.8,399,-4.3,-0.5,4.8,68134
1610560800,-4.3,36.3,3.8,-0.5,-0.3,3.9,392,-4,-0.6,4.3,69334
1610564400,-4.3,36.3,3.7,-1.1,-0.6,3.9,393,-3.3,-0.9,4.6,58719
1610568000,-4.3,36.4,2.8,-2.2,-0.4,3.6,391,-2.8,-0.5,5.2,49217
1610571600,-4.3,36.4,3.2,-1.9,-0.5,3.8,388,-2.4,0,5.6,46313
1610575200,-4.3,36.5,3.7,-1.8,0.3,4.2,385,-2.9,0.2,5.2,38532
1610578800,-4.3,36.5,3.5,-1,0,3.7,381,-2.9,-0.2,6.2,47499
1610582400,-4.3,36.6,3.1,0,0.3,3.3,371,-3,-0.1,6.9,43976
1610586000,-4.3,36.6,3.6,0.1,0.1,3.7,372,-2.6,0.5,6.6,41211
1610589600,-4.3,36.6,2.5,-1.9,1.5,3.8,371,-2.8,1,7.1,35029
1610593200,-4.3,36.7,0.4,-3.4,2.2,4.1,370,-2.9,1.2,7.5,32810
1610596800,-4.4,36.7,0.6,-2,0.9,4.2,373,-2.6,1.2,7.1,33155
1610600400,-4.4,36.8,4,1,0.8,4.2,369,-2,0,6.4,30079
1610604000,-4.4,36.8,4.2,0,0.2,4.2,367,-1.6,0.5,6.2,31338
1610607600,-4.4,36.9,4.1,1.1,0.3,4.4,368,-1.3,0.3,6.3,25327
1610611200,-4.4,36.9,3.5,1.6,-0.2,3.8,375,-1.2,0.4,7,21516
1610614800,-4.4,36.9,3.5,1.4,0.4,3.8,372,-1.1,0.4,7.1,21536
1610618400,-4.4,37,3.7,1.4,0,4,370,-0.8,0.6,7.3,19405
1610622000,-4.4,37,3.8,0.5,-0.7,3.9,372,-1.1,0.9,8.1,17541
1610625600,-4.4,37.1,4,0.4,-0.4,4.1,369,-0.9,0.8,7.9,16451
1610629200,-4.4,37.1,4.1,0.5,-0.4,4.1,370,-0.2,1.2,8.6,16956
1610632800,-4.4,37.1,4.2,0.5,-0.6,4.2,366,0.2,1.2,9.2,16095
1610636400,-4.4,37.2,4.2,-0.6,-0.1,4.4,352,0.4,1.7,9.4,23472
1610640000,-4.4,37.2,4,-1.4,-0.4,4.3,342,0.3,1.6,9.4,26469
1610643600,-4.4,37.3,4.2,-2.3,-0.4,4.8,344,0,1.9,8.7,21135
1610647200,-4.4,37.3,3.2,-3.2,1.1,4.9,344,0.1,1.9,8.8,21437
1610650800,-4.4,37.4,2.7,-2.2,-0.3,4.6,337,1.9,1.7,10.1,27545
1610654400,-4.4,37.4,3.4,-2.1,-0.9,4.3,331,1.8,1.8,10.2,29181
1610658000,-4.4,37.4,0.6,-3.2,0.7,4.3,328,2.2,1.7,10.2,29206
1610661600,-4.4,37.5,-1.1,-3.1,1.5,3.9,325,2.4,1.8,11.5,29250
1610665200,-4.4,37.5,0.5,-2.9,0.4,3.8,319,2.3,1.7,10.8,29137
1610668800,-4.4,37.6,2.4,-1.5,-2.4,3.8,312,2.3,2,10.4,22558
1610672400,-4.4,37.6,1.9,-1.8,-0.9,2.8,307,2.3,2,11.2,20369
1610676000,-4.4,37.7,0.9,-1.6,-0.2,1.9,302,2.5,1.9,11.3,18757
