time,HGI_X(km),HGI_Y(km),HGI_Z(km)
1610496000,26858705.7,-19769111.01,1316702.173
1610496060,26858027.12,-19764521.31,1316392.383
1610496120,26857348.19,-19759931.35,1316082.575
1610496180,26856668.92,-19755341.14,1315772.751
1610496240,26855989.31,-19750750.67,1315462.91
1610496300,26855309.35,-19746159.95,1315153.052
1610496360,26854629.04,-19741568.98,1314843.176
1610496420,26853948.39,-19736977.75,1314533.284
1610496480,26853267.39,-19732386.27,1314223.375
1610496540,26852586.05,-19727794.53,1313913.45
1610496600,26851904.36,-19723202.54,1313603.507
1610496660,26851222.32,-19718610.29,1313293.547
1610496720,26850539.94,-19714017.79,1312983.57
1610496780,26849857.22,-19709425.04,1312673.577
1610496840,26849174.14,-19704832.03,1312363.566
1610496900,26848490.72,-19700238.77,1312053.539
1610496960,26847806.95,-19695645.25,1311743.494
1610497020,26847122.84,-19691051.48,1311433.433
1610497080,26846438.38,-19686457.45,1311123.355
1610497140,26845753.57,-19681863.17,1310813.26
1610497200,26845068.42,-19677268.64,1310503.148
1610497260,26844382.91,-19672673.85,1310193.018
1610497320,26843697.07,-19668078.81,1309882.872
1610497380,26843010.87,-19663483.51,1309572.709
1610497440,26842324.33,-19658887.96,1309262.53
1610497500,26841637.44,-19654292.16,1308952.333
1610497560,26840950.2,-19649696.09,1308642.119
1610497620,26840262.61,-19645099.78,1308331.888
1610497680,26839574.68,-19640503.21,1308021.64
1610497740,26838886.4,-19635906.39,1307711.376
1610497800,26838197.77,-19631309.31,1307401.094
1610497860,26837508.79,-19626711.98,1307090.796
1610497920,26836819.47,-19622114.39,1306780.48
1610497980,26836129.8,-19617516.55,1306470.148
1610498040,26835439.78,-19612918.45,1306159.798
1610498100,26834749.41,-19608320.1,1305849.432
1610498160,26834058.69,-19603721.49,1305539.049
1610498220,26833367.62,-19599122.63,1305228.648
1610498280,26832676.21,-19594523.52,1304918.231
1610498340,26831984.44,-19589924.15,1304607.797
1610498400,26831292.33,-19585324.52,1304297.346
1610498460,26830599.87,-19580724.65,1303986.878
1610498520,26829907.06,-19576124.51,1303676.393
1610498580,26829213.9,-19571524.12,1303365.891
1610498640,26828520.39,-19566923.48,1303055.372
1610498700,26827826.53,-19562322.58,1302744.836
1610498760,26827132.33,-19557721.43,1302434.283
1610498820,26826437.77,-19553120.02,1302123.713
1610498880,26825742.86,-19548518.36,1301813.126
1610498940,26825047.61,-19543916.45,1301502.522
1610499000,26824352,-19539314.27,1301191.902
1610499060,26823656.05,-19534711.85,1300881.264
1610499120,26822959.74,-19530109.17,1300570.609
1610499180,26822263.09,-19525506.23,1300259.937
1610499240,26821566.08,-19520903.04,1299949.249
1610499300,26820868.72,-19516299.59,1299638.543
1610499360,26820171.02,-19511695.89,1299327.821
1610499420,26819472.96,-19507091.94,1299017.081
1610499480,26818774.56,-19502487.73,1298706.324
1610499540,26818075.8,-19497883.26,1298395.551
1610499600,26817376.69,-19493278.54,1298084.76
1610499660,26816677.23,-19488673.57,1297773.953
1610499720,26815977.42,-19484068.34,1297463.128
1610499780,26815277.26,-19479462.85,1297152.287
1610499840,26814576.75,-19474857.11,1296841.428
1610499900,26813875.88,-19470251.11,1296530.553
1610499960,26813174.67,-19465644.86,1296219.661
1610500020,26812473.1,-19461038.36,1295908.751
1610500080,26811771.19,-19456431.6,1295597.825
1610500140,26811068.92,-19451824.58,1295286.881
1610500200,26810366.3,-19447217.31,1294975.921
1610500260,26809663.33,-19442609.78,1294664.944
1610500320,26808960,-19438002,1294353.949
