time,chi_squared,dn1,dT1_perp,dR1,dV1x,dV1y,dV1z,dn2,dT2_perp,dR2,dV_drift
1600819200.787800,38781.96066205102,0.4707735185836861,0.03152467444942353,0.002524424944411361,0.08076047679595307,0.08271976707123385,0.08606402670880002,-0.000000000000000,-0.000000000000000,-0.000000000000000,-0.000000000000000
1600819312.636274,24564.12838260588,0.6646210111684817,0.1860294881544728,0.01931117625055044,0.4652587605092711,0.3213950861648336,0.2866723902156018,0.7683381931709332,0.04100725067733613,0.007283718956644762,0.6104884973389707
1600819424.484668,37264.95140272271,0.6810240165157346,0.1565468294175993,0.01660285118829642,0.2875988158376370,0.1944115784967516,0.1164794112360555,0.7394126406110845,0.04252684122606147,0.007695923586778453,0.3438627202238400
1600819536.333063,27748.84700315066,0.6727665942025626,0.1114514236523992,0.01287203858337610,0.2779096111824940,0.1114900243976798,0.2478082212234300,0.7408911813940678,0.03932399787157041,0.006656236591881813,0.3345719083692463
1600819648.181537,24410.38011576614,0.7934866218068931,0.03885617916851557,0.006206959367840518,0.1139459828694783,0.07231079282069842,0.1127717911645295,0.7086680929472634,0.09919155589381784,0.01291428312228853,0.3577049728224897
1600819760.029931,22968.48792351700,0.7357135101485915,0.04039537314240879,0.005990664756358288,0.1148815694141734,0.07385111214984111,0.1300447486850849,0.6482769786712524,0.1126916573785713,0.01447808064848964,0.4581907663045098
1600819871.878345,19207.37910202278,1.020518156279468,0.1055031832329701,0.007965545192375306,0.5278836612285831,0.1504071387525842,0.4764415179620358,1.081938004892341,0.04881338042189281,0.007764504030744088,0.7004452108579393
1600819983.726799,16310.60260654702,2.522734831003528,0.1012014753322612,0.01155595543018782,0.1737402960233379,0.1124966726147664,0.1118809084626119,2.526077962317736,0.1259743503159051,0.01289075629225510,1.055265963481091
1600820095.575213,20172.85066155587,1.008162427893938,0.2424105836406745,0.03319907998686565,0.6379361642002488,0.5531838545238071,0.2179319951104124,1.066486200284903,0.05454488112742143,0.006304970152238786,0.7843141618731744
1600820207.423667,29123.42738112890,0.8872656600977662,0.05492685062767774,0.009169321101053450,0.1029557305780921,0.09952003056066358,0.09269520915774443,0.8309283808906183,0.1658194930481727,0.01277697576373329,0.5347011820805112
1600820319.272082,23044.13033785695,1.055561634692650,0.1046450915637898,0.006460444394820353,0.3545611987473115,0.2036215102715543,0.2064145142308101,1.087083646725095,0.06603311282620106,0.01284910268291306,0.4333555545484710
1600820431.120476,23228.12604857767,1.832680461439737,0.1974864289855537,0.01162573184443944,0.4242487143787750,0.5341851606563922,0.2725002565875527,1.844516991742010,0.09417527926958977,0.006998880926001478,0.6699395704459726
1600820542.968950,22746.39251735598,0.7252444998017037,0.1384131302788239,0.01172881416819718,0.2822905630250370,0.2530696545847227,0.1545824185165819,0.7035890573808777,0.1024837978288294,0.01943558730051209,0.3748766330339266
