time,RADIAL_DISTANCE_AU,HGI_LAT_deg,HGI_LONG_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,B_nT,VR_(RTN)_km/sec,VT_(RTN)_km/sec,VN_(RTN)_km/sec,PROTON_SPEED_km/s,FLOW_LAT_(RTN)_deg,SW_LON_(RTN)_deg,PROTON_DENS_N/cm3,PROTON_TEMP_deg_K
1600819201,0.21,2.1,326.8,38.87,-22.49,13.66,46.94,232.3,-1.00E+31,-7.8,-1.00E+31,-1.00E+31,-1.00E+31,259.1,193477
1600822801,0.21,2.1,327.2,47.21,-31.54,10.74,57.79,224.2,-1.00E+31,-8.1,-1.00E+31,-1.00E+31,-1.00E+31,254.7,214575
1600826401,0.21,2,327.7,34.43,-36.2,10.55,51.06,257.9,-1.00E+31,-3.9,-1.00E+31,-1.00E+31,-1.00E+31,280,292881
1600830001,0.21,2,328.1,37.4,-17.3,21.58,46.52,250.6,-1.00E+31,-13,-1.00E+31,-1.00E+31,-1.00E+31,280.7,356540
1600833601,0.2,2,328.6,37.81,-7.89,21.89,44.4,251.3,-1.00E+31,-17,-1.00E+31,-1.00E+31,-1.00E+31,295.2,431668
1600837201,0.2,2,329,37.42,-2.07,1.51,37.51,256.2,-1.00E+31,-7.5,-1.00E+31,-1.00E+31,-1.00E+31,284.6,439834
1600840801,0.2,1.9,329.4,35.92,-8.62,29.08,47.01,258.2,-1.00E+31,-16,-1.00E+31,-1.00E+31,-1.00E+31,291.5,442848
1600844401,0.2,1.9,329.9,40.25,-9.73,19.23,45.65,255.4,-1.00E+31,-15.4,-1.00E+31,-1.00E+31,-1.00E+31,281.8,413359
1600848001,0.2,1.9,330.3,46.88,-25.9,3.47,53.67,255.4,-1.00E+31,-6.8,-1.00E+31,-1.00E+31,-1.00E+31,250.4,315536
1600851601,0.2,1.8,330.8,52.91,2.75,-6.77,53.41,248.7,-1.00E+31,-7.1,-1.00E+31,-1.00E+31,-1.00E+31,258.2,300151
1600855201,0.2,1.8,331.2,54.95,7.32,-14.16,57.21,238,-1.00E+31,-4.6,-1.00E+31,-1.00E+31,-1.00E+31,260.6,246538
1600858801,0.2,1.8,331.7,50.16,-9.83,6.88,51.58,255.3,-1.00E+31,-8.8,-1.00E+31,-1.00E+31,-1.00E+31,235.2,260333
1600862401,0.2,1.7,332.1,44.14,-13.52,-19.81,50.24,272.3,-1.00E+31,-0.5,-1.00E+31,-1.00E+31,-1.00E+31,212.9,259443
1600866001,0.19,1.7,332.5,50.6,-22.79,-21.42,59.49,273.8,-1.00E+31,1.5,-1.00E+31,-1.00E+31,-1.00E+31,220.2,223802
1600869601,0.19,1.7,333,62.07,-6.13,-10.4,63.24,260.9,-1.00E+31,-3.2,-1.00E+31,-1.00E+31,-1.00E+31,267.8,159711
1600873201,0.19,1.7,333.4,55.54,-27.41,17.78,64.44,270.8,-1.00E+31,-8.1,-1.00E+31,-1.00E+31,-1.00E+31,222.3,219661
1600876801,0.19,1.6,333.9,57.16,-18.53,17.23,62.51,268.3,-1.00E+31,-8.9,-1.00E+31,-1.00E+31,-1.00E+31,227.3,239966
1600880401,0.19,1.6,334.3,43.93,-36.54,7.55,57.63,292.8,-1.00E+31,-6.3,-1.00E+31,-1.00E+31,-1.00E+31,242.5,295802
1600884001,0.19,1.6,334.7,54.95,-10.5,3.87,56.08,275.2,-1.00E+31,-6.2,-1.00E+31,-1.00E+31,-1.00E+31,258,319317
1600887601,0.19,1.5,335.2,27.53,-36.24,-3.5,45.65,315.8,-1.00E+31,-3.7,-1.00E+31,-1.00E+31,-1.00E+31,237.9,300624
1600891201,0.19,1.5,335.6,36.53,-27.61,-4.07,45.97,308.9,-1.00E+31,-2.2,-1.00E+31,-1.00E+31,-1.00E+31,255,403176
1600894801,0.18,1.5,336.1,17.31,-13.64,-39.79,45.49,335.4,-1.00E+31,0.5,-1.00E+31,-1.00E+31,-1.00E+31,252.5,483327
1600898401,0.18,1.5,336.5,38.42,-23.17,-18.4,48.49,311.8,-1.00E+31,-2.4,-1.00E+31,-1.00E+31,-1.00E+31,290,546590
1600902001,0.18,1.4,337,41.2,-24.71,0.99,48.05,318.8,-1.00E+31,-5.9,-1.00E+31,-1.00E+31,-1.00E+31,284.8,601332
1600905601,0.18,1.4,337.4,41.46,-2.15,1.57,41.54,326,-1.00E+31,-7.1,-1.00E+31,-1.00E+31,-1.00E+31,267.7,662809
1600909201,0.18,1.4,338,49.11,-17.08,8.08,52.62,335.2,-1.00E+31,-8.6,-1.00E+31,-1.00E+31,-1.00E+31,240.8,553988
1600912801,0.18,1.3,338.7,63.23,-9.78,8.73,64.57,324.7,-1.00E+31,-10.4,-1.00E+31,-1.00E+31,-1.00E+31,237,438478
1600916401,0.18,1.3,339.3,60.13,-17.24,0.55,62.56,323.5,-1.00E+31,-7.5,-1.00E+31,-1.00E+31,-1.00E+31,235.9,432986
1600920001,0.18,1.2,340,58.22,-14.48,11.4,61.07,324.9,-1.00E+31,-9.4,-1.00E+31,-1.00E+31,-1.00E+31,251.4,542387
1600923601,0.17,1.2,340.6,68.18,-3.6,12.35,69.38,308.8,-1.00E+31,-9.2,-1.00E+31,-1.00E+31,-1.00E+31,238.2,418949
1600927201,0.17,1.1,341.3,66.25,-6.09,28.58,72.4,326.3,-1.00E+31,-13.3,-1.00E+31,-1.00E+31,-1.00E+31,234.5,442963
1600930801,0.17,1.1,341.9,79.27,-1.96,32.38,85.65,319.3,-1.00E+31,-13.1,-1.00E+31,-1.00E+31,-1.00E+31,218.7,334245
1600934401,0.17,1.1,342.6,79.16,-5.59,9.37,79.91,315.4,-1.00E+31,-9.4,-1.00E+31,-1.00E+31,-1.00E+31,203.6,320984
1600938001,0.17,1,343.2,64.22,20.75,-7.63,67.92,323,-1.00E+31,-8.1,-1.00E+31,-1.00E+31,-1.00E+31,221.3,491026
1600941601,0.17,1,343.9,62.37,2.98,-16.28,64.53,337.1,-1.00E+31,-6.3,-1.00E+31,-1.00E+31,-1.00E+31,224.5,534435
1600945201,0.17,0.9,344.5,81.55,-18.18,-25.27,87.29,309,-1.00E+31,-2.6,-1.00E+31,-1.00E+31,-1.00E+31,218.7,344193
1600948801,0.17,0.9,345.1,20.46,5.21,-33.74,39.8,341.9,-1.00E+31,-7.3,-1.00E+31,-1.00E+31,-1.00E+31,254.6,468787
1600952401,0.16,0.9,345.8,34.3,-12.19,-58.96,69.29,367.3,-1.00E+31,-4,-1.00E+31,-1.00E+31,-1.00E+31,240.9,690322
1600956001,0.16,0.8,346.4,61.15,15.31,-19.77,66.07,322.6,-1.00E+31,-5.1,-1.00E+31,-1.00E+31,-1.00E+31,235.2,661337
1600959601,0.16,0.8,347.1,52.32,21.12,-24.16,61.37,327.5,-1.00E+31,-5.4,-1.00E+31,-1.00E+31,-1.00E+31,243.3,643812
1600963201,0.16,0.7,347.7,64.46,21.25,-3.67,67.98,305.5,-1.00E+31,-9.3,-1.00E+31,-1.00E+31,-1.00E+31,264.1,467603
1600966801,0.16,0.7,348.4,95.7,11.64,12.83,97.25,300.4,-1.00E+31,-9.1,-1.00E+31,-1.00E+31,-1.00E+31,199.6,293268
1600970401,0.16,0.6,349,95,-33.56,-1.54,100.77,328.2,-1.00E+31,-6.4,-1.00E+31,-1.00E+31,-1.00E+31,195,460191
1600974001,0.16,0.6,349.7,92.85,-27.67,-3.08,96.93,303.7,-1.00E+31,-3.5,-1.00E+31,-1.00E+31,-1.00E+31,215.6,421507
1600977601,0.16,0.6,350.3,105.79,-18.95,-6.12,107.64,250.2,68.7,-4.9,259.5,-1.1,15.3,333.8,269942
1600981201,0.15,0.5,351,114.85,-24.06,-2.83,117.38,251.9,70.5,-6.7,261.6,-1.5,15.6,343.4,247797
1600984801,0.15,0.5,351.6,118.49,-33.59,0.98,123.16,240.6,72.9,-5,251.4,-1.1,16.8,352.7,207671
1600988401,0.15,0.4,352.3,119.42,-31.11,10.09,123.81,234.9,71.2,-5.9,245.5,-1.4,16.9,396.3,226586
1600992001,0.15,0.4,352.9,121.41,-24.5,1.86,123.87,242.5,71.6,-5.5,252.9,-1.2,16.4,359.8,209361
1600995601,0.15,0.3,338.9,105.81,-29.31,-9.44,110.2,236,69.4,-9.8,246.2,-2.3,16.4,567,289251
1600999201,0.15,0.3,324.9,97.86,-16.39,-1.04,99.23,240.6,60.7,-17.9,248.8,-4.1,14.2,641.9,268796
1601002801,0.15,0.2,310.9,100.11,-21.6,-5.64,102.57,227,67.6,-13.9,237.3,-3.4,16.6,688.6,219062
1601006401,0.15,0.1,296.9,81.78,-4.35,-1.19,81.9,208.4,65.5,-15.8,219,-4.1,17.4,879.2,165505
1601010001,0.14,0.1,282.9,85.07,-25.69,4.51,88.98,209.5,65,-17.3,220.1,-4.5,17.2,948,165645
