time,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
1595462400,5,223.1,-1.4,-2.7,-1.2,3.6,308,0.6,-1.4,8.8,20648
1595466000,5,223.2,-1.7,-3.1,-0.1,3.6,309,-0.4,-0.1,7.7,21327
1595469600,5,223.2,-1.3,-2.5,0.4,3.6,310,0,0.1,7.2,22939
1595473200,5,223.3,1.5,-2.6,1.3,3.3,313,1.7,-1.3,8,22534
1595476800,5,223.3,1.5,-2.3,1.3,3.2,315,2,-2.3,8.8,21295
1595480400,5,223.3,-0.8,-1.4,-0.7,3.1,313,1.4,-1.5,9.3,20005
1595484000,5,223.4,-2.2,0.5,-1.3,2.6,320,1,-0.7,9.9,16215
1595487600,5,223.4,-3,0.6,-1,3.2,320,0.7,-0.8,8.7,16417
1595491200,5,223.5,-3.8,0.2,-0.9,3.9,319,0.5,-0.5,7.3,19574
1595494800,5,223.5,-4.3,-0.2,-1,4.4,315,0,-0.4,6.2,19163
1595498400,5,223.5,-4.4,-0.7,-1.3,4.6,316,-0.9,0.5,8.4,18486
1595502000,5,223.6,1.4,-1.4,-0.8,3.3,317,-1.5,0.5,11.8,28922
1595505600,5,223.6,2.2,-0.9,-0.2,3.2,314,-1.5,0.5,12.1,30493
1595509200,5,223.7,2.8,0.9,0.7,3.2,315,-0.4,1.4,12.4,28730
1595512800,5,223.7,2.8,-0.6,0.7,3,313,0.6,1.7,12.2,26807
1595516400,5,223.7,2.3,-1.4,0.9,3,312,0.6,1.3,11.1,24162
1595520000,5,223.8,2,-1.6,0.2,2.8,309,0.5,1.6,9.9,29298
1595523600,5,223.8,1.8,-1.8,-0.5,2.8,307,1.6,1.9,9.7,28756
1595527200,5,223.9,0.7,-0.5,-1.8,2.2,307,1.6,2.4,9.6,27128
1595530800,5,223.9,0.7,-1.1,-0.5,1.7,306,2,2.8,9.7,25326
1595534400,5,223.9,-1.1,-0.3,-0.3,1.5,300,1.7,3.6,9.7,21047
1595538000,5,224,-1.6,-0.4,-0.3,1.7,298,1.5,3.8,10.1,21067
1595541600,5.1,224,-2.1,0.2,-0.9,2.3,300,1.4,3.7,10.7,20313
1595545200,5.1,224.1,-2,0.3,-1,2.3,299,1.5,3.4,13.1,15483
1595548800,5.1,224.1,0.2,0.6,0.3,1.4,304,1.3,3.7,17.2,17877
1595552400,5.1,224.1,-0.2,1.1,-0.2,1.9,306,2.3,4.8,18.9,19630
1595556000,5.1,224.2,-1.2,3.1,0.9,3.8,313,2.7,4.6,19.9,24988
1595559600,5.1,224.2,-3.3,2.9,0,7.3,322,2.4,5.1,21.2,31001
1595563200,5.1,224.3,-3.5,3.1,-5.5,8.3,321,1.9,5.4,22,34788
1595566800,5.1,224.3,-3.5,4.8,-3.5,8,337,-0.8,1.2,18.8,50394
1595570400,5.1,224.3,-3.6,4.8,-8.3,10.4,357,-1.1,-3.1,7.5,66289
1595574000,5.1,224.4,-4.4,5.9,-7.1,10.5,354,-2.4,-2.5,8.7,41139
1595577600,5.1,224.4,-4.3,6.8,-5.3,10,354,-2.4,-1.9,11.2,20245
1595581200,5.1,224.5,-4.2,8.2,-3.5,10.3,356,0.5,-1.5,6,16903
1595584800,5.1,224.5,-2.9,8.4,3.3,10.1,363,1.9,-2,8.2,19412
1595588400,5.1,224.5,-1,6.1,7.7,10.3,366,2.4,-3,8.1,19937
1595592000,5.1,224.6,-4.1,6,-3.7,10.2,359,1,-1.1,6.7,14302
1595595600,5.1,224.6,-4.6,5.5,-6.4,9.7,365,3.7,-1.5,5.4,50518
1595599200,5.1,224.7,-3.6,2.6,-7.3,8.9,368,3.6,-4.2,7.7,68684
1595602800,5.1,224.7,-4.2,2.5,-6.6,8.4,363,4.6,-2.9,9.2,65503
1595606400,5.1,224.7,-4.3,0.2,-5.6,7.9,366,5.1,-3.7,9.8,65656
1595610000,5.1,224.8,-3.7,0.3,-6.9,8,371,4.7,-1.8,8.1,70112
1595613600,5.1,224.8,-3.4,-1.4,-7.2,8.3,371,3.3,-2.9,7.2,61371
1595617200,5.1,224.9,-5.1,-0.3,-6.8,8.7,362,4.3,-2.1,6.5,64795
1595620800,5.1,224.9,-4.5,-1.5,-7.6,9.1,365,1.2,-2.9,5.9,34003
1595624400,5.1,224.9,-3.4,-2.5,-8.1,9.3,375,0.7,-3.8,6,37980
