time,chi_squared,dn,dT_perp,dR,dVx,dVy,dVz
1600819200.787800,1984.559000473760,0.04828305873394101,1.555767329275506,0.03056360212400354,1.160017447146990,0.9394058057082507,0.9274503282660886
1600819312.636274,2403.647642545233,0.05114118145203617,1.717648619793770,0.08173694404444085,1.016796722542007,0.7590905043925370,0.9472523007277545
1600819424.484668,2216.071919358627,0.05768402557912983,2.604715571792514,0.06563500821175412,1.502968141573053,1.243829787981152,1.058786058169136
1600819536.333063,1918.884135064152,0.05096642933039157,2.398056554078917,0.03722794350994504,1.507716589004373,1.142268865322011,1.147659089921969
1600819648.181537,1859.831890761026,0.04661620005302938,2.047546276325464,0.02769301349195400,1.633531942831393,1.048835152909271,1.152860989094338
1600819760.029931,1522.944334541558,0.04304764699811164,1.925253012277087,0.03237030652096794,1.528032583064408,1.009317059267851,1.130941871530803
1600819871.878345,2113.831327230044,0.05870660415719189,2.155205367731555,0.05274686500448654,1.292269676044588,1.062984439252481,1.030210182654875
1600819983.726799,2161.477824044657,0.05336666536514762,2.677061304105951,0.05408005873941155,1.496202036848054,1.250635905397884,1.142558373663874
1600820095.575213,2387.527882281367,0.05732146332938418,2.352280419719153,0.07364805220929738,1.290810462279301,1.157855167642398,1.019580238762545
1600820207.423667,1819.219055934686,0.05721773867326480,2.736272089008910,0.09958815546483024,1.406100405531373,1.287859408051824,1.152735839670940
1600820319.272082,2004.727484893001,0.05763080594845203,2.976826178132570,0.05759685503153186,1.593332394395842,1.374497118551260,1.204107107907339
1600820431.120476,2550.651940971276,0.05794488841094923,2.866484404478872,0.04935528704758302,1.524915246625538,1.238150604839831,1.099801826750790
1600820542.968950,900.8562009776542,0.05429906522557144,4.165598101411070,0.08853856697555341,2.051084387478137,1.897501387480362,1.587026608908821
1600820654.817344,359.2828416389479,0.2038494534386693,5.748093992302524,0.08582652186871491,10.91279127480298,15.79167118014083,2.728531975354433
1600820766.665738,302.3660862000064,0.1451372534215493,7.211717546154774,0.1066755396596726,8.296241187343016,13.02847613336721,3.229927734328685
1600820878.514212,383.9001447854753,0.2094155612514657,6.036198367357713,0.07189185226070606,10.82260722790627,12.32722357815332,2.494169193400187
1600820990.362607,139.4324467611758,0.06577231623873682,4.772371728463138,0.2137965265930564,3.588273593016011,3.452037030258595,2.941554240147003
