time,np1,np2,vp1_x,vp1_y,vp1_z,B_inst_x,B_inst_y,B_inst_z,vdrift,Tperp1,Tperp2,Trat1,Trat2
1600819200.787800,219.6042298735795,0.000000000000000,-280.2608648817071,70.62097997064494,-10.39426092789814,-36.8953,-14.2499,27.7259,-150.5928776963845,13.32601567577529,40.00692628711347,0.6781873548520931,0.6932062950362303
1600819312.636274,60.34759067049645,203.8836696771219,-314.6604250123240,37.58005357761098,10.44124794449809,-44.2328,-28.3696,26.6682,-67.81218137904510,30.00073845303026,11.60584318954472,1.137613593399982,1.398827267947899
1600819424.484668,93.73404420017582,175.8648914614828,-310.4538464142722,41.94200057041731,0.9802181997615549,-44.6018,-18.0947,33.1415,-59.90978763796643,31.89924787987064,10.20792789523598,1.456214584182737,1.203097334498803
1600819536.333063,103.6961513064162,158.4983513010568,-319.2575307016180,49.77889160433419,23.63066970621124,-44.9136,-8.95307,37.2029,-76.10430656491101,27.63738823960899,9.422673994417973,1.245482876900888,1.001164824933344
1600819648.181537,172.3313077113228,97.76299038990962,-261.1973646028069,68.46654632175458,-26.04735763665358,-45.8888,-5.39238,36.3773,83.99009988426295,10.29358556215791,24.48738988742005,1.043275804026085,1.139047697170675
1600819760.029931,154.6718507615749,73.71917521073212,-264.3573192880975,66.17422033648361,-30.80406456296114,-45.6236,-6.48994,41.3695,84.93741772541976,9.778549378458948,23.40981175926766,0.9454656371536421,1.034067800944770
1600819871.878345,82.17788243087382,164.8158162878213,-309.8170475787152,66.32202749604389,24.33753605763509,-46.6917,-23.0655,30.7028,-63.55881352897608,21.54736950382983,11.52918728247440,0.6638832338462506,1.154868362757938
1600819983.726799,154.6720010044215,91.93050513499956,-271.8041289931124,93.19315688085922,-3.962993380636285,-36.6288,-38.3422,15.9243,47.69628886005690,14.97292376605348,22.40945923132012,1.345790454376145,0.8617510994186263
1600820095.575213,50.85883953466422,213.8744908302602,-321.1671812799818,49.56701152618436,13.34820522573110,-42.0284,-36.5777,18.6594,-67.22274400960383,29.46837520524542,13.43680159058489,1.405422545597612,1.013503543139899
1600820207.423667,166.5630188569824,81.74811487732218,-263.6282286403355,75.37074556197291,-19.45274359213794,-46.1552,-16.1135,35.3684,57.64543939921281,12.63246663134198,29.56111347414423,1.418774316761170,0.9826410623950356
1600820319.272082,116.0416972493817,141.1561630482371,-306.9785382306530,65.22838058213776,5.589160558267406,-42.1719,-24.3228,30.2930,-51.61203276705930,24.07947537567911,13.21381531792906,0.8368009452229968,1.596040564607625
1600820431.120476,99.76963696273670,164.7233578218271,-315.8305044633955,65.55383470490675,11.06817831378463,-30.6126,-35.6814,25.1777,-50.05669365328274,29.29412673327432,14.53526863000403,0.9101253436710470,0.8962929490907959
1600820542.968950,110.2835560383207,80.11015974826093,-307.2713472371707,44.03216909584863,13.13254492663542,-45.0730,10.8706,14.8732,-61.21057725665460,33.14918347104720,13.21678583044882,1.192890235742798,1.794517107709861
1600820654.817344,23.31218421444598,63.61452206644509,-337.8505594289331,83.56616166858393,13.94411106244377,-33.2562,51.2604,-6.72237,-56.57036662556272,12.64023758100862,25.44311763092778,1.115796551667209,0.4758077321520327
1600820766.665738,20.37280827604149,74.03256412995795,-339.9021063608934,87.49409006359870,9.154375413786097,-38.5192,49.7627,-1.71206,-73.12439841500898,12.64470570320617,24.12113026797527,1.319483739967822,0.4108074884631786
1600820878.514212,56.78941885919330,31.04632664224354,-338.2237074284234,77.63689879008098,14.61539404196365,-41.6427,47.3667,1.17961,-101.4274972013460,19.50495532352655,27.31971689059727,0.7996525532603800,3.097588675827453
1600820990.362607,12.46767658347520,7.352283608260591,-339.0246586931677,77.93615881809130,14.12466796192847,-42.8549,45.1211,12.6182,-106.0579483988127,17.75175571719104,27.77619944594423,0.8042133317739326,3.247903904755331
1600821102.211021,73.50735228811132,21.27134612279241,-333.4377212247633,75.48999957925827,12.27072790200170,-39.8196,48.5577,2.30630,-97.97744433248793,17.57599165482468,23.90462113302393,0.8470894193056449,3.710749926763029
1600821214.059475,42.14857781465955,57.48446919058037,-334.4320765356497,84.33364799702846,10.59603787749938,-22.7661,55.8151,-4.91160,-83.97380983205552,15.07540872870373,25.72543677303708,1.298851218055997,0.3066584840296395
1600821325.907889,77.37547434808813,52.34009216449009,-328.6189050748843,73.43880401412393,12.62347475167126,-48.7572,38.9178,-5.77316,-99.04314548479709,17.33448437544470,17.95015071478839,0.5470377552090093,2.546703081031740
1600821437.756283,70.70616467791102,69.87760859495114,-340.0676136223136,78.43898919911273,10.89141459313891,-50.8430,36.6054,-0.324671,-107.5185032845800,18.06781244041261,23.73054930201280,0.7265129856981103,3.346478770786487
1600821549.604757,89.34270687853228,37.66775556794185,-318.0788209621641,69.07286016503807,18.67387959681301,-42.7370,40.7139,-9.37118,-85.78470938159737,18.41753728199616,18.04335532798645,0.5745394443919449,2.661686265378461
1600821661.453151,73.25844181337749,15.84055963371449,-330.1254758905368,71.78102180102506,9.291827973886575,-37.8575,50.4284,-1.21397,-99.03551592095255,16.97955077875869,28.49225753773595,0.6526638155686121,4.431809626917026
1600821773.301546,67.42652224234212,22.04071830160606,-330.2757759884847,72.11354468774621,13.21756013954200,-41.0861,49.7679,1.67907,-95.11338383695909,18.51784429139949,26.32287550926914,0.6529787219518058,3.300036597122831
1600821885.150020,60.08175756819038,21.63338937279068,-328.1402275653852,69.81585838616793,15.57611198116936,-42.0467,47.0949,12.0659,-97.01595092888489,18.63387440116028,27.94875736334551,0.6046573972702837,3.335757917959745
1600821996.998414,28.51295129889743,48.44244680419239,-332.9260397620168,77.38903959030783,20.25589496708650,-32.3775,53.1938,12.5640,-52.16042010733796,13.35350892275742,25.82743441334591,0.9096006527248303,0.3801233104230979
1600822108.846828,32.56395631067587,63.85586991152687,-330.4282098013423,81.94653072519787,16.00035750547675,-29.0434,52.3979,21.4770,-74.86244439586653,13.41045971885281,28.43803135847928,1.085692642080795,0.4150151168568095
1600822220.695282,58.13408459179818,36.32544332662108,-321.8511390197688,69.72995710822102,7.134339464777918,-33.7572,42.0958,38.4539,-87.34065784908863,15.98378721959616,26.86882918923838,0.6012929889570583,2.938724886601747
1600822332.543696,80.65318411706333,25.20752724889356,-304.3722835562019,61.64711431224750,-15.79322696828526,-31.8403,33.7551,47.3050,-70.16924012661565,13.06203437433050,18.40563364058180,0.3868256284403526,2.428486597496534
1600822444.392150,86.26000831782899,56.94806445391663,-305.1078990365435,68.13085669689674,-22.61029689438439,-28.9992,23.6500,52.5023,-62.21559447076463,11.24265779777982,15.48241447671765,0.3987153435234917,1.557045651780077
1600822556.240565,118.3123268798864,122.2862560439811,-324.1839258950054,78.43893445588692,8.619379865838562,-24.2804,9.04023,48.3605,-78.60494108308735,18.42719490413984,11.44587566440997,0.5663815936516964,0.7983717668590128
1600822668.088959,122.4529488764657,47.09373223704949,-321.1774192482853,74.23319526008588,9.338411555994815,-32.3239,32.6178,24.3531,-94.79510457970443,18.41445303470247,16.19417810573688,0.6806820360647908,1.897285177178460
1600822779.937433,642.3994140625000,642.3994140625000,-268.3399926937261,67.61629284112560,-28.08965187409815,-46.2070,10.5430,32.1803,-23.33819699969337,15.96851095897549,21.42926314064911,3.563177114300375,0.8473301766602432
