time,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
1575158400,1.1,351.3,-4.7,0.8,0.1,4.7,385,-2.6,0.7,11.9,28245
1575162000,1.1,351.4,-4.2,0.5,0.5,4.3,384,-3.5,-0.5,13.9,30097
1575165600,1.1,351.4,-3.9,0.3,0.8,4,380,-4,-0.3,14.6,32908
1575169200,1.1,351.5,-3,1.3,1,3.5,375,-4.5,-0.8,15.6,36574
1575172800,1.1,351.5,-2.4,3,0.2,4.1,373,-4.3,-1.6,11.5,57062
1575176400,1.1,351.5,-2.7,4.1,0.3,5.3,368,-3.8,-1.9,10.1,63909
1575180000,1.1,351.6,-3.8,2.8,1.4,5.3,365,-3.6,-1.8,9.5,57736
1575183600,1.1,351.6,-3.2,0.1,2.7,4.5,365,-3.7,-1.6,10.7,53712
1575187200,1.1,351.7,-3.4,2,0.4,4.3,361,-3.4,-1.2,10,51904
1575190800,1.1,351.7,-4.3,1,0.4,4.5,361,-3,-1.2,9,52748
1575194400,1,351.8,-4.2,0.1,0.9,4.4,359,-2.7,-0.9,8.5,49063
1575198000,1,351.8,-4.1,-0.7,1,4.3,358,-2.5,-0.5,7.9,46325
1575201600,1,351.8,-3.8,-1.6,0.5,4.4,356,-1.9,-0.5,7.6,41793
1575205200,1,351.9,-3.6,-1.2,0.1,3.9,358,-1.1,-0.7,7.8,38011
1575208800,1,351.9,-3.2,-0.9,1,3.6,358,-1.2,-0.8,7.6,38340
1575212400,1,352,-3.9,-0.1,-0.5,4,347,-1.6,-1,6.3,40626
1575216000,1,352,-3.3,0.4,0.5,3.5,354,-1.4,-1.2,7.6,43765
1575219600,1,352,-2.9,1.6,1.2,3.7,353,-0.7,-0.8,8.1,44502
1575223200,1,352.1,-2.8,1.5,0,3.3,353,-0.8,-0.4,7.9,44641
1575226800,1,352.1,-2.7,-1.5,-2,3.8,351,-1.5,-1.5,7.1,45900
1575230400,1,352.2,-2,-0.5,-2.5,3.4,353,-1.6,-1.1,7.8,43580
1575234000,1,352.2,-2.8,0.5,-0.8,3.2,354,-1.3,-1.4,9,36097
1575237600,1,352.3,-2.7,-0.8,0,3,352,-1.2,-1.5,9.3,35696
1575241200,1,352.3,-0.9,-0.8,-0.2,1.8,348,-2.2,-0.6,11.2,31064
1575244800,1,352.3,-0.8,-2.5,1.7,3.9,349,-4.5,-0.4,13.4,33649
