time,RADIAL_DISTANCE_AU,HGI_LAT_deg,HGI_LONG_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,B_nT,VR_(RTN)_km/sec,VT_(RTN)_km/sec,VN_(RTN)_km/sec,PROTON_SPEED_km/s,FLOW_LAT_(RTN)_deg,SW_LON_(RTN)_deg,PROTON_DENS_N/cm3,PROTON_TEMP_deg_K
1579906805,0.21,0.4,353,-23.78,36.76,-8.58,44.62,359.6,45.3,-2.3,362.4,-0.4,7.2,140.1,356273
1579910405,0.21,0.4,353.4,-46.06,30.77,-5.91,55.71,341.3,38.9,-0.7,343.5,-0.1,6.5,126.5,284828
1579914005,0.21,0.4,353.9,-40.57,28.04,-13.46,51.12,365.2,37.9,-11.1,367.4,-1.7,5.9,139,310757
1579917605,0.21,0.3,354.4,-36.42,13.36,1.13,38.81,375.3,25.1,6.6,376.2,1,3.8,164.6,478153
1579921205,0.21,0.3,354.9,-30.22,15.21,2.53,33.93,379.3,33.4,10.2,380.9,1.5,5,164.4,459557
1579924805,0.21,0.3,355.4,-42.29,-0.84,8.45,43.13,356,26.2,21.5,357.6,3.4,4.2,164.8,360981
1579928405,0.21,0.2,355.9,-44.66,-8.87,-14.56,47.8,346.8,18.7,-10.5,347.4,-1.7,3.1,161.4,296901
1579932005,0.2,0.2,356.3,-53.04,6.68,8.93,54.2,341.2,36.3,13.7,343.4,2.3,6.1,158.8,255603
1579935605,0.2,0.2,356.8,-41.91,18.18,2.62,45.76,344.4,41.1,7.3,346.9,1.2,6.8,171.7,328450
1579939205,0.2,0.1,357.3,-42.8,9.97,9.22,44.9,331.5,31.3,16.7,333.4,2.9,5.4,190.2,382933
1579942805,0.2,0.1,357.8,-40.7,10.93,10.01,43.31,341.6,36.3,16.9,343.9,2.8,6.1,191,384014
1579946405,0.2,0.1,358.3,-45.46,-13.5,10.56,48.59,341,18.6,14.9,341.9,2.5,3.1,181.2,339929
1579950005,0.2,0,358.8,-53.15,-10.09,26.54,60.26,327.1,27.5,29.6,329.6,5.2,4.8,191.2,299917
1579953605,0.2,0,359.3,-48.11,-5,18.05,51.63,330.9,27.2,20.8,332.7,3.6,4.7,195.4,342628
1579957205,0.2,0,359.8,-50.08,-17,15.31,55.06,333.1,24.1,16.3,334.4,2.8,4.1,203.6,374514
1579960805,0.2,-0.1,0.3,-52.2,6.91,25.57,58.53,336.7,41.3,23.5,340,4,7,200.1,376001
1579964405,0.2,-0.1,0.8,-30.97,17.06,-32.1,47.76,366.2,31.3,-35.9,369.3,-5.6,4.9,194.5,355461
1579968005,0.2,-0.1,1.3,-44.22,6.73,-30.04,53.88,367.6,31,-19,369.4,-2.9,4.8,181.4,439196
1579971605,0.2,-0.2,1.8,-41.09,-9.53,3.34,42.31,359.7,18.5,14.9,360.5,2.4,2.9,181.2,536528
1579975205,0.19,-0.2,2.2,-43.83,0.7,8.39,44.63,361,34.1,17.8,363.1,2.8,5.4,164.6,423743
1579978805,0.19,-0.2,2.7,-50.5,9.58,-4.22,51.57,359.3,40,-2.9,361.6,-0.5,6.3,166.5,378317
1579982405,0.19,-0.3,3.2,-53.58,31.44,-14.08,63.7,352.1,57,-14.3,356.9,-2.3,9.2,160.2,320543
1579986005,0.19,-0.3,3.7,-60.87,27.8,-0.89,66.93,341.2,54.9,2.5,345.6,0.4,9.1,154.5,251326
1579989605,0.19,-0.3,4.2,-55.01,27.14,-1.22,61.35,349.4,52,0.2,353.3,0,8.5,151.8,268394
1579993205,0.19,-0.4,4.7,-72.94,3.92,17.33,75.07,318.8,36.5,24.9,321.8,4.4,6.5,141.9,183861
1579996805,0.19,-0.4,5.2,-68.65,-0.41,8,69.12,323.7,30.9,18,325.7,3.2,5.5,150.4,226737
1580000405,0.19,-0.4,5.9,-54.66,-33.53,9.62,64.84,333.9,8,24.2,334.9,4.1,1.4,147.9,278625
1580004005,0.19,-0.5,6.5,-64.4,-17.54,-12.9,67.98,331.1,11,-9.3,331.5,-1.6,1.9,147.3,287911
1580007605,0.19,-0.5,7.2,-59.97,-6.9,-24.29,65.07,336.9,18.1,-28.4,338.5,-4.8,3.1,145,296333
1580011205,0.18,-0.6,7.8,-68.21,-24.18,-9.99,73.06,328.6,7.4,-4.4,328.7,-0.8,1.3,143.1,279709
1580014805,0.18,-0.6,8.5,-77.13,0.43,-0.14,77.13,352.1,29.2,3.6,353.3,0.6,4.7,121.2,318312
1580018405,0.18,-0.6,9.1,-75.27,6.16,-2.22,75.55,349.2,38,-1,351.2,-0.2,6.2,134.6,274221
1580022005,0.18,-0.7,9.8,-77.88,25.1,0.25,81.83,362.8,54,0.1,366.8,0,8.5,132.8,270931
1580025605,0.18,-0.7,10.4,-63.03,22.45,1.16,66.92,377.8,53.9,-6.8,381.7,-1,8.1,146,461767
1580029205,0.18,-0.8,11.1,-65.24,-0.01,5.44,65.46,382.3,40.5,2.6,384.4,0.4,6.1,157.1,432582
1580032805,0.18,-0.8,11.7,-47.94,16.83,30.84,59.44,401.1,52.6,32.5,405.9,4.6,7.5,161.9,574560
1580036405,0.18,-0.9,12.4,-51.23,24.72,33.05,65.79,404.4,62.7,32.9,410.6,4.6,8.8,152.5,504957
1580040005,0.17,-0.9,13,-65.8,31.27,20.81,75.76,397.6,63.2,22,403.2,3.1,9,134.3,436591
1580043605,0.17,-0.9,13.7,-61.96,18.96,7.43,65.22,413.1,47.6,7.7,415.9,1.1,6.6,133.2,503039
1580047205,0.17,-1,14.4,-81.19,21.95,-7.41,84.43,379.5,51.4,-1,383,-0.2,7.7,131.5,290596
1580050805,0.17,-1,15,-63.78,-8.74,-29.47,70.8,308.1,31.8,-28.4,311,-5.2,5.9,268.7,287430
1580054405,0.17,-1.1,15.7,-71.86,10.08,13,73.71,284.7,55.3,11.5,290.3,2.3,11,314.3,322424
1580058005,0.17,-1.1,16.3,-57.81,27.26,24.85,68.58,329.4,57.3,26.1,335.3,4.5,9.9,230.7,367250
1580061605,0.17,-1.1,17,-86.19,20.58,2.03,88.63,325.2,52.1,11.7,329.6,2,9.1,191,313722
1580065205,0.17,-1.2,17.6,-83.02,4.82,11.44,83.94,328.1,44.2,21,331.8,3.6,7.7,183.6,320129
1580068805,0.16,-1.2,18.3,-70.11,-21.36,25.9,77.73,346.7,32.6,32.5,349.8,5.3,5.4,170.2,425387
1580072405,0.16,-1.3,18.9,-75.7,16.86,-0.87,77.56,360.6,55.8,-4.3,364.9,-0.7,8.8,175.3,473396
1580076005,0.16,-1.3,19.6,-75.81,17.59,-1.53,77.84,365.4,59.6,-0.3,370.2,0,9.3,181.1,455877
1580079605,0.16,-1.4,20.2,-68.77,16.08,24.58,74.78,384.7,59.4,31.1,390.5,4.6,8.8,168.4,542546
1580083205,0.16,-1.4,20.9,-50.71,4.56,4.9,51.15,426.3,38.2,7.4,428.1,1,5.1,156.4,728742
1580086805,0.16,-1.4,21.8,-68.64,-0.76,21.24,71.85,414.3,51.4,28.6,418.5,3.9,7.1,145.4,509995
1580090405,0.16,-1.5,22.6,-80.38,-2.93,8.22,80.85,403.7,45.5,10.5,406.4,1.5,6.4,137.1,376173
1580094005,0.16,-1.5,23.5,-85.49,11.28,0.74,86.24,400.7,56.5,1.3,404.7,0.2,8,135.7,343844
1580097605,0.16,-1.6,24.3,-89.23,10.73,5.4,90.04,403.8,57.5,3.2,407.9,0.5,8.1,136.6,328297
1580101205,0.16,-1.6,25.2,-100.53,-9.2,-6.79,101.18,374.4,43.2,-6.7,376.9,-1,6.6,157.8,340617
1580104805,0.15,-1.7,26,-103.53,-4.65,-11.82,104.3,326.9,43.4,-5.5,329.8,-1,7.6,190.1,255646
1580108405,0.15,-1.7,26.9,-81.81,3.92,-48.51,95.19,294.7,40.2,-47.5,301.2,-9.1,7.8,298.5,220064
1580112005,0.15,-1.8,27.8,-88.08,11,-14.27,89.9,293.3,57.4,-8.7,298.9,-1.7,11.1,290.6,231767
1580115605,0.15,-1.8,28.6,-90.89,28.98,-26.54,99.02,295.3,64,-24.8,303.2,-4.7,12.2,285.1,232864
1580119205,0.15,-1.9,29.5,-81.87,7.02,-1.76,82.18,302.7,54,-3,307.5,-0.6,10.1,303,382719
1580122805,0.15,-1.9,30.3,-80.7,-7.78,-2.24,81.11,315.9,47.7,-0.5,319.5,-0.1,8.6,276.8,450930
1580126405,0.15,-2,31.2,-90.85,-11.25,-5.64,91.72,306.1,48.5,-9,310,-1.7,9,289.1,390949
1580130005,0.15,-2,32.1,-99.58,-4.96,-10.64,100.27,296.4,51.1,-16.9,301.2,-3.2,9.8,291.9,346507
1580133605,0.15,-2.1,32.9,-102.79,6.02,7.58,103.25,310.4,55.3,-0.2,315.3,0,10.1,245.3,456879
1580137205,0.15,-2.1,33.8,-90.89,7.98,9.31,91.71,323.3,59.6,12.3,329,2.2,10.5,249.3,549300
1580140805,0.15,-2.2,34.6,-82.44,3.2,-12.06,83.38,350,52.9,-17.7,354.4,-2.9,8.6,237.1,615534
1580144405,0.15,-2.2,35.5,-68.91,24.34,3.89,73.18,394.2,65,-3.2,399.5,-0.5,9.4,235.3,733723
1580148005,0.14,-2.3,36.3,-76.79,17.08,-0.95,78.67,388.8,64.5,-7.2,394.2,-1,9.4,218.7,613804
1580151605,0.14,-2.3,37.2,-84.2,-35.32,12.77,92.19,383.3,40.3,5.2,385.4,0.8,6,200.9,586834
1580155205,0.14,-2.4,38.1,-86.57,3.8,1.92,86.67,372.4,62.7,-8.4,377.7,-1.3,9.6,226.7,566463
1580158805,0.14,-2.4,38.9,-90.55,5.8,13.34,91.71,364.4,63.7,5.3,370,0.8,9.9,241,638504
1580162405,0.14,-2.5,39.8,-85.62,33.28,-19.82,93.97,384,73.6,-30.7,392.2,-4.5,10.9,222.6,679390
1580166005,0.14,-2.5,40.6,-99.82,10.55,7.99,100.69,381,67.9,2,387,0.3,10.1,192.5,473057
1580169605,0.14,-2.6,41.5,-107.69,6.22,-0.21,107.87,381.5,63.9,-6.7,386.9,-1,9.5,159.1,351403
1580173205,0.14,-2.6,42.6,-108.11,-15.57,7.9,109.51,354.9,45.2,8.9,357.9,1.4,7.3,153.4,437228
1580176805,0.14,-2.7,43.6,-108.95,-15.85,51.06,121.36,347.1,77.1,72,362.7,11.4,12.5,155.3,427536
1580180405,0.14,-2.7,44.7,-114.98,33.06,27.82,122.83,366.6,86.7,42.3,379.1,6.4,13.3,168.2,440443
1580184005,0.14,-2.8,45.8,-121.68,21.59,-13.1,124.28,338.3,66.5,-1.9,344.7,-0.3,11.1,192.5,349633
1580187605,0.14,-2.8,46.9,-135.86,19.54,-5.13,137.35,291.9,56,-1.5,297.2,-0.3,10.9,186.3,281467
1580191205,0.14,-2.8,47.9,-112.16,-31.47,4.35,116.57,279.4,40.3,-8.9,282.4,-1.8,8.2,194.3,229697
1580194805,0.14,-2.9,49,-79.23,-18.68,35.16,88.67,269.1,64.3,25,277.8,5.2,13.4,547.5,278166
1580198405,0.14,-2.9,50.1,-96.66,-52.67,21.5,112.16,260.1,65.8,30.6,270,6.5,14.2,648.2,285971
1580202005,0.14,-3,51.1,-107.36,-0.04,-8.2,107.67,250.8,75.8,-50.9,266.9,-11,16.8,698.2,368587
1580205605,0.14,-3,52.2,-124.75,-0.59,8.66,125.05,243,53.2,-10.6,249,-2.4,12.3,443.7,228280
1580209205,0.14,-3.1,53.3,-123.17,-0.69,-6.29,123.33,230.3,43.2,-18.6,235.1,-4.5,10.6,506,244129
1580212805,0.13,-3.1,54.3,-100.26,26.23,-27.85,107.31,272.8,36.5,-62.5,282.2,-12.8,7.6,752.9,227794
1580216405,0.13,-3.1,55.4,-117.77,27.76,-20.72,122.76,254.9,87.7,-22.7,270.5,-4.8,19,566.9,261575
1580220005,0.13,-3.2,56.5,-88.81,67.28,-17.37,112.77,261.3,88.4,-28.9,277.4,-6,18.7,618.8,330538
1580223605,0.13,-3.2,57.6,-69.24,22.16,-52.46,89.65,249.7,47.8,-74.5,264.9,-16.3,10.8,672.1,395486
1580227205,0.13,-3.3,58.6,-90.89,35.68,-14.32,98.69,250.7,66.4,-39.4,262.3,-8.6,14.8,682,391979
1580230805,0.13,-3.3,59.7,-108.12,5.98,-12.11,108.96,248.6,59.1,-28,257.1,-6.2,13.4,590.6,273215
1580234405,0.13,-3.3,60.8,-113.62,-2.35,4.09,113.72,246.7,77.5,-3.8,258.6,-0.8,17.4,546.6,225561
1580238005,0.13,-3.4,61.8,-115.61,31.67,-4.65,119.96,254.3,81.7,-15.8,267.6,-3.4,17.8,557,234790
1580241605,0.13,-3.4,62.9,-93.15,16.57,-14.87,95.77,258.6,73.9,-11.3,269.2,-2.4,16,536.7,243601
1580245205,0.13,-3.5,64,-104.23,24.43,17.4,108.46,268.4,73.1,-6.5,278.3,-1.3,15.2,473.2,213468
1580248805,0.13,-3.5,65.1,-117.55,6,22.37,119.81,269.4,73.9,-1.9,279.4,-0.4,15.3,440.9,188626
1580252405,0.13,-3.6,66.1,-115.11,-29.99,-18.43,120.37,264.7,60.7,-18.6,272.2,-3.9,12.9,404.2,168505
1580256005,0.13,-3.6,67.2,-133.44,-9.81,-0.48,133.81,262,70.3,-10.5,271.5,-2.2,15,387,146937
1580259605,0.13,-3.6,68.3,-135.48,-7,5.38,135.77,257.9,70.2,-9.6,267.5,-2.1,15.2,383.8,140753
1580263205,0.13,-3.6,69.5,-146.76,-4.33,8.16,147.06,259.2,64.4,-15.4,267.5,-3.3,13.9,339.7,141714
1580266805,0.13,-3.6,70.6,-131.54,-10.86,15.92,132.94,257.3,70,-7.8,266.7,-1.7,15.2,429.4,161183
1580270405,0.13,-3.6,71.8,-103.2,-3.75,32.95,108.4,257.1,84.8,-5,270.7,-1.1,18.3,704.8,230707
1580274005,0.13,-3.6,72.9,-105.36,-10.56,66.75,125.17,261.5,96.3,7.6,278.8,1.6,20.2,715.4,210371
1580277605,0.13,-3.6,74.1,-134.94,-14.98,-1.81,135.78,261,61.2,-24.4,269.2,-5.2,13.2,712.2,201838
1580281205,0.13,-3.7,75.2,-122.79,-19.3,-21.63,126.17,268.9,73.2,-28.1,280.2,-5.8,15.2,733.4,220253
1580284805,0.13,-3.7,76.4,-124.46,-6.11,-24.56,127,262.2,50.8,-30.4,268.8,-6.5,11,656.3,194828
1580288405,0.13,-3.7,77.5,-86.55,-65.11,-59.13,123.4,261.5,53.1,-37.8,269.5,-8.1,11.5,813.4,106638
1580292005,0.13,-3.7,78.7,-103.57,-9.34,-49.01,114.96,268.8,45.8,-46.1,276.6,-9.6,9.7,834.6,110456
1580295605,0.13,-3.7,79.8,-135.28,-27.16,-0.79,137.99,256.8,66.9,-15.5,265.8,-3.3,14.6,443.8,187959
1580299205,0.13,-3.7,81,-130.62,-11.62,1.22,131.14,263.3,80.8,-5.4,275.4,-1.1,17.1,494.1,197545
1580302805,0.13,-3.7,82.2,-100.06,-37.92,-7.98,107.3,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580306405,0.13,-3.7,83.3,-71.91,-69.45,-5.73,100.14,255.4,75.3,-30.6,268.1,-6.6,16.4,968.2,136156
1580310005,0.13,-3.7,84.5,-82.72,-27.01,-22.16,89.8,265.8,68.8,-23,275.6,-4.8,14.5,862.4,152605
1580313605,0.13,-3.7,85.6,-101.89,42.53,-10.46,110.91,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580317205,0.13,-3.7,86.8,-90.49,57.01,5.99,107.12,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580320805,0.13,-3.7,87.9,-88.48,74.24,-7.86,115.77,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580324405,0.13,-3.8,89.1,-87.74,57.06,-12.07,105.36,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580328005,0.13,-3.8,90.2,-100.16,28.34,-4.14,104.18,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580331605,0.13,-3.8,91.4,-113.84,34.89,2.4,119.09,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580335205,0.13,-3.8,92.5,-112.09,48.03,6.39,122.12,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580338805,0.13,-3.8,93.7,-96.37,22.62,33.48,104.5,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580342405,0.13,-3.8,94.8,-87.43,20.63,23.98,92.98,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580346005,0.13,-3.8,95.8,-69.63,-56.84,31.14,95.13,265.8,95.8,-4.5,282.5,-0.9,19.8,1106.8,158327
1580349605,0.13,-3.8,96.9,-78.7,-7.4,16.46,80.74,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580353205,0.13,-3.7,97.9,-65.93,-19.39,-24.57,72.98,271.8,64.2,-30.4,280.9,-6.2,13.3,1017.2,171630
1580356805,0.13,-3.7,99,-81.32,-8.58,-8.5,82.21,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580360405,0.13,-3.7,100,-77.25,38.54,-10.58,86.98,270.6,87.9,-9.5,284.7,-1.9,18,1173.5,155092
1580364005,0.13,-3.7,101,-91.03,21.59,1.17,93.56,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580367605,0.13,-3.7,102.1,-105.84,35.54,16.58,112.88,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580371205,0.13,-3.6,103.1,-102.52,32.17,-37.19,113.7,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580374805,0.13,-3.6,104.1,-108.49,30.01,-9.54,112.96,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580378405,0.13,-3.6,105.2,-106.7,43.72,3.53,115.36,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580382005,0.13,-3.6,106.2,-96.99,29.96,-30.28,105.93,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580385605,0.13,-3.5,107.2,-99.67,24.58,-8.61,103.01,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580389205,0.14,-3.5,108.3,-69.19,4.26,-13.66,70.65,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580392805,0.14,-3.5,109.3,-44.25,15.48,0.08,46.88,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580396405,0.14,-3.5,110.4,-54.93,-0.29,-4.26,55.1,274.7,50,-20.5,280,-4.2,10.3,1672.2,144624
1580400005,0.14,-3.5,111.4,-48.53,2.09,0.9,48.59,279.7,51.7,-15.1,284.9,-3,10.5,1587.6,139252
1580403605,0.14,-3.4,112.4,-109.66,-0.62,4.33,109.75,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580407205,0.14,-3.4,113.5,-100.78,3.64,-4.58,100.95,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580410805,0.14,-3.4,114.5,-94.5,-9.48,2.39,95.01,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580414405,0.14,-3.4,115.5,-97.71,6.57,6.19,98.12,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580418005,0.14,-3.4,116.6,-90.16,11.51,-0.94,90.89,264.9,76.1,-9.6,275.8,-2,16,1034.2,151918
1580421605,0.14,-3.3,117.6,-96.57,6.41,-8.45,97.15,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580425205,0.14,-3.3,118.7,-106.57,23.44,2.01,109.14,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580428805,0.14,-3.3,119.7,-97.5,-6.58,-32.31,102.93,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580432405,0.14,-3.3,120.5,-92.64,1.49,-40.95,101.3,297.7,55.1,-6.3,302.9,-1.2,10.5,553,207936
1580436005,0.14,-3.2,121.3,-65.19,-22.12,-30.55,75.31,287.8,54.8,-11.1,293.2,-2.2,10.8,730,160126
1580439605,0.14,-3.2,122.1,-75.94,2.8,-18.25,78.15,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580443205,0.15,-3.2,123,-81.14,10.62,-9.19,82.35,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580446805,0.15,-3.1,123.8,-88.34,-8.06,-14.31,89.85,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580450405,0.15,-3.1,124.6,-94.11,15.34,-12.88,96.22,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580454005,0.15,-3.1,125.4,-90.76,-6.05,-15.67,92.31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580457605,0.15,-3,126.2,-84.73,13.2,-9.27,86.25,259.4,78.1,-0.7,270.9,-0.1,16.8,675.2,128987
1580461205,0.15,-3,127,-60.69,9.56,-10.63,62.35,256.9,68.3,-8.3,265.9,-1.8,14.9,830,122894
1580464805,0.15,-3,127.9,-63.94,23.36,2.91,68.13,253.2,75.3,-2.4,264.2,-0.5,16.6,767.4,110881
1580468405,0.15,-2.9,128.7,-74.6,40.33,15.39,86.19,259.1,82.5,5.3,271.9,1.1,17.7,641.1,127756
1580472005,0.16,-2.9,129.5,-80.03,25.74,32.23,90.03,262.5,77.2,15.7,274.1,3.3,16.4,611.6,141530
1580475605,0.16,-2.9,130.3,-82.46,27.23,22.61,89.74,253.9,76.2,9.4,265.3,2,16.7,609.4,130442
1580479205,0.16,-2.8,131.1,-82.55,24.71,20.34,88.54,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31,-1.00E+31
1580482805,0.16,-2.8,132,-76.79,35.07,1.92,84.44,252,78.9,6.5,264.1,1.4,17.4,612,114335
1580486405,0.16,-2.8,132.8,-81.66,28.94,-6.95,86.91,248,70.4,3.7,257.9,0.8,15.9,599.6,117386
1580490005,0.16,-2.7,133.6,-84.35,17.39,-3.54,86.2,245.8,66.8,8.5,254.9,1.9,15.2,662.4,147200
1580493605,0.16,-2.7,134.4,-73.4,25.89,8.61,78.3,262.2,71,7,271.8,1.5,15.1,569.9,121267
1580497205,0.16,-2.7,135.2,-63.04,36.23,-17.44,74.77,258.7,58.1,2.5,265.1,0.5,12.7,639.2,154111
1580500805,0.17,-2.6,136,-24.63,17.55,1.43,30.28,287.1,61.8,2.1,293.7,0.4,12.1,815,164897
