time,RADIAL_DISTANCE_AU,HGI_LAT_deg,HGI_LONG_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,B_nT,VR_(RTN)_km/sec,VT_(RTN)_km/sec,VN_(RTN)_km/sec,PROTON_SPEED_km/s,FLOW_LAT_(RTN)_deg,SW_LON_(RTN)_deg,PROTON_DENS_N/cm3,PROTON_TEMP_deg_K
1579824005,0.24,1,344.1,-52.77,9.38,7.44,54.11,300.7,10.4,13.3,301.2,2.5,2,84.2,186868
1579827605,0.24,1,344.5,-44.95,22.89,6.66,50.88,327.5,27.5,17.4,329.1,3,4.8,83,225239
1579831205,0.24,1,344.9,-46.14,24.04,1.4,52.04,311.3,30.9,8.9,312.9,1.6,5.7,88.1,238708
1579834805,0.24,0.9,345.3,-38.27,19.52,0.13,42.96,339.7,20.4,12.8,340.6,2.2,3.4,96.4,297765
1579838405,0.23,0.9,345.7,-41.21,11.98,-1.11,42.93,358.6,7.8,10.8,358.8,1.7,1.3,92.7,290445
1579842005,0.23,0.9,346,-43.54,11.89,-1.46,45.16,362.2,8.2,3.3,362.3,0.5,1.3,81.2,242260
1579845605,0.23,0.9,346.4,-38.82,19.82,-13.3,45.57,335.7,23.6,-21,337.2,-3.6,4,106.4,239044
1579849205,0.23,0.8,346.8,-26.24,31.03,-1.98,40.68,306.1,40.2,3.7,308.8,0.7,7.5,121.8,202275
1579852805,0.23,0.8,347.2,-34.74,28.97,0.46,45.24,348,48.8,4.1,351.4,0.7,8,106.1,328920
1579856405,0.23,0.8,347.6,-42.95,22.83,-6.55,49.08,354.8,36.9,-19,357.2,-3,5.9,95.9,295499
1579860005,0.23,0.8,348,-41.99,26.37,-2,49.62,344.7,40.2,-1.8,347,-0.3,6.7,93.8,301888
1579863605,0.23,0.7,348.4,-49.29,17.35,0.82,52.26,336.1,26.2,6.5,337.2,1.1,4.5,91.5,249528
1579867205,0.22,0.7,348.8,-48.33,23.83,-5.54,54.17,321.2,35.3,-7.1,323.3,-1.3,6.3,108.1,230919
1579870805,0.22,0.7,349.1,-55.55,10.72,2.36,56.62,295,21.4,-0.4,295.8,-0.1,4.1,122,275647
1579874405,0.22,0.7,349.5,-38.9,32.47,0.27,50.68,346.3,46.3,-0.7,349.3,-0.1,7.6,100,265759
1579878005,0.22,0.6,349.9,-40.32,31.53,-11.27,52.41,339,36.9,-22.3,341.7,-3.7,6.2,99.1,238180
1579881605,0.22,0.6,350.3,-58.07,18.65,5.47,61.24,296.1,28.1,8,297.6,1.5,5.4,102,174137
1579885205,0.22,0.6,350.7,-58.9,6.44,6.2,59.58,297.1,13.1,7.9,297.5,1.5,2.5,96,167808
1579888805,0.22,0.6,351.1,-54.24,8.35,-1.89,54.91,296.3,10.8,-12.9,296.8,-2.5,2.1,101.9,188210
1579892405,0.22,0.5,351.5,-35.12,30,-3.97,46.35,344.2,44.9,-2.4,347.1,-0.4,7.4,110,249544
1579896005,0.21,0.5,351.8,-27.58,29.94,1.45,40.73,355.8,38.7,6.2,358,1,6.2,122.2,280120
1579899605,0.21,0.5,352.2,-46.61,22.01,8.19,52.19,330.8,35,21.4,333.3,3.7,6,107.9,235353
1579903205,0.21,0.5,352.6,-46.82,16.6,-6.64,50.11,331.5,30.7,-7.7,333,-1.3,5.3,125.8,287892
