time,HELIOGRAPHIC_LATITUDE_deg,HELIOGRAPHIC_LONGITUDE_deg,BR_(RTN)_nT,BT_(RTN)_nT,BN_(RTN)_nT,FIELD_MAGNITUDE_AVG._nT,BULK_FLOW_SPEED_km/s,ELEVATION_ANGLE_Deg,AZIMUTH_ANGLE_Deg,ION_DENSITY_N/cm3,TEMPERATURE_Deg_K
1579824005,-5.2,46,-2.9,2,0.5,3.6,319,0.8,0.6,6.8,31689
1579827605,-5.2,46,-2.8,1.5,0.5,3.3,319,0.1,0.1,6.3,30417
1579831205,-5.2,46.1,-1.3,3.1,-0.8,3.5,317,-0.7,0.8,5.4,31185
1579834805,-5.2,46.1,-1.7,2.4,-1.6,3.4,310,-1.7,0.7,4.3,24943
1579838405,-5.2,46.2,-1.9,3.1,-1.2,3.8,310,-1,-0.1,4.2,31316
1579842005,-5.2,46.2,-1.5,3.8,-0.1,4.1,313,-0.9,0.7,4.6,35812
1579845605,-5.2,46.2,-0.6,3.6,0.5,3.8,318,-0.9,0.6,5.3,29764
1579849205,-5.3,46.3,0.5,3,0.4,3.2,324,-1.8,-0.6,8.1,19260
1579852805,-5.3,46.3,0.1,3.1,0,3.2,323,-1.7,-0.2,8.4,19238
1579856405,-5.3,46.4,-0.7,3,-0.1,3.2,326,-1.5,0.3,8.6,19299
1579860005,-5.3,46.4,0.1,3.4,0.2,3.5,327,-2.1,0,8.2,19797
1579863605,-5.3,46.5,0.3,3.4,-0.5,3.5,326,-2.2,0.2,9,19742
1579867205,-5.3,46.5,0.6,2.2,-0.8,3.1,324,-1.6,0.2,10,20094
1579870805,-5.3,46.5,1.8,2.4,-0.3,3.2,326,-1.7,1.1,8.5,23938
1579874405,-5.3,46.6,1.1,2.4,0.8,2.8,322,-2.4,0.5,8.9,24043
1579878005,-5.3,46.6,1,-0.3,0.8,2.5,323,-2.6,1.4,9.5,23617
1579881605,-5.3,46.7,1.9,1.4,-0.4,3.3,325,-2.9,0.9,9.5,20385
1579885205,-5.3,46.7,1.4,2.8,0.4,3.6,323,-2.9,0.3,10.6,20502
1579888805,-5.3,46.8,2.2,1.9,0.9,3.5,317,-3.2,0.9,9.9,23016
1579892405,-5.3,46.8,3.1,-1.2,0.1,3.4,312,-3.3,1.6,9.1,22230
1579896005,-5.3,46.8,3.4,-1.3,0.4,3.7,307,-3.4,1.9,9.6,23328
1579899605,-5.3,46.9,3.2,-2.1,0.4,3.9,306,-2.9,2,9.7,21458
1579903205,-5.3,46.9,3.1,-1.9,0.9,3.8,303,-2.8,1.8,8.9,21006
1579906805,-5.3,47,1.8,-2.2,-0.7,3,308,-2.8,0.3,10.5,22670
1579910405,-5.3,47,1.1,-2.1,-1.3,2.8,306,-3.2,0.2,10.9,22887
1579914005,-5.3,47,-0.1,-1.8,-2.2,2.9,304,-3.4,0.3,10.1,24864
1579917605,-5.3,47.1,0.2,-1.7,-2.2,2.8,306,-3.8,0.1,10.5,23725
1579921205,-5.3,47.1,0.1,-1.5,-2.6,3.2,306,-2.5,0.2,11.3,23433
1579924805,-5.3,47.2,1.3,0.7,-2.8,3.2,314,-1,0.5,12.8,26471
1579928405,-5.3,47.2,3.9,2.5,-1.7,5.2,312,-0.5,0.5,9.6,28078
