Year   Month     Day    Hour  Minute  Second              HGI_X(km)             HGI_Y(km)             HGI_Z(km)
2020      09      23      01      23      00             26398599.8023        -17033653.13          1132063.967
2020      09      23      01      24      00             26397701.6514        -17028912.01          1131744.105
2020      09      23      01      25      00             26396803.0944        -17024170.63          1131424.226
2020      09      23      01      26      00             26395904.1313        -17019428.99          1131104.329
2020      09      23      01      27      00             26395004.7619        -17014687.08          1130784.415
2020      09      23      01      28      00             26394104.9861        -17009944.92          1130464.484
2020      09      23      01      29      00             26393204.8037        -17005202.49          1130144.535
2020      09      23      01      30      00             26392304.2148         -17000459.8          1129824.569
2020      09      23      01      31      00             26391403.2192        -16995716.84          1129504.585
2020      09      23      01      32      00             26390501.8166        -16990973.63          1129184.584
2020      09      23      01      33      00             26389600.0072        -16986230.15          1128864.566
2020      09      23      01      34      00             26388697.7906        -16981486.41           1128544.53
2020      09      23      01      35      00             26387795.1668        -16976742.41          1128224.477
2020      09      23      01      36      00             26386892.1357        -16971998.15          1127904.406
2020      09      23      01      37      00             26385988.6972        -16967253.62          1127584.318
2020      09      23      01      38      00             26385084.8512        -16962508.83          1127264.213
2020      09      23      01      39      00             26384180.5974        -16957763.79           1126944.09
2020      09      23      01      40      00             26383275.9359        -16953018.47          1126623.949
2020      09      23      01      41      00             26382370.8665         -16948272.9          1126303.792
2020      09      23      01      42      00             26381465.3891        -16943527.06          1125983.617
2020      09      23      01      43      00             26380559.5036        -16938780.97          1125663.424
2020      09      23      01      44      00             26379653.2098        -16934034.61          1125343.214
2020      09      23      01      45      00             26378746.5077        -16929287.98          1125022.987
2020      09      23      01      46      00             26377839.3971         -16924541.1          1124702.742
2020      09      23      01      47      00             26376931.8778        -16919793.95          1124382.479
2020      09      23      01      48      00             26376023.9499        -16915046.55            1124062.2
2020      09      23      01      49      00             26375115.6132        -16910298.87          1123741.903
2020      09      23      01      50      00             26374206.8675        -16905550.94          1123421.588
2020      09      23      01      51      00             26373297.7127        -16900802.75          1123101.256
2020      09      23      01      52      00             26372388.1488        -16896054.29          1122780.907
2020      09      23      01      53      00             26371478.1756        -16891305.57           1122460.54
2020      09      23      01      54      00              26370567.793        -16886556.59          1122140.156
2020      09      23      01      55      00             26369657.0009        -16881807.34          1121819.754
2020      09      23      01      56      00             26368745.7991        -16877057.84          1121499.335
2020      09      23      01      57      00             26367834.1875        -16872308.07          1121178.898
2020      09      23      01      58      00             26366922.1661        -16867558.04          1120858.444
2020      09      23      01      59      00             26366009.7347        -16862807.74          1120537.973
2020      09      23      02      00      00             26365096.8932        -16858057.19          1120217.484
2020      09      23      02      01      00             26364183.6414        -16853306.37          1119896.978
2020      09      23      02      02      00             26363269.9793        -16848555.29          1119576.454
2020      09      23      02      03      00             26362355.9068        -16843803.95          1119255.913
2020      09      23      02      04      00             26361441.4237        -16839052.34          1118935.355
2020      09      23      02      05      00             26360526.5298        -16834300.48          1118614.779
2020      09      23      02      06      00             26359611.2252        -16829548.35          1118294.185
2020      09      23      02      07      00             26358695.5096        -16824795.96          1117973.575
2020      09      23      02      08      00              26357779.383         -16820043.3          1117652.946
2020      09      23      02      09      00             26356862.8453        -16815290.39          1117332.301
2020      09      23      02      10      00             26355945.8962        -16810537.21          1117011.638
2020      09      23      02      11      00             26355028.5358        -16805783.77          1116690.957
2020      09      23      02      12      00             26354110.7638        -16801030.06          1116370.259
2020      09      23      02      13      00             26353192.5802         -16796276.1          1116049.544
2020      09      23      02      14      00             26352273.9849        -16791521.87          1115728.811
2020      09      23      02      15      00             26351354.9776        -16786767.38           1115408.06
2020      09      23      02      16      00             26350435.5584        -16782012.62          1115087.293
2020      09      23      02      17      00             26349515.7271        -16777257.61          1114766.507
2020      09      23      02      18      00             26348595.4836        -16772502.33          1114445.705
2020      09      23      02      19      00             26347674.8278        -16767746.79          1114124.885
2020      09      23      02      20      00             26346753.7594        -16762990.98          1113804.047
2020      09      23      02      21      00             26345832.2785        -16758234.92          1113483.192
2020      09      23      02      22      00              26344910.385        -16753478.59           1113162.32
2020      09      23      02      23      00             26343988.0786           -16748722           1112841.43
2020      09      23      02      24      00             26343065.3592        -16743965.15          1112520.523
2020      09      23      02      25      00             26342142.2269        -16739208.03          1112199.598
2020      09      23      02      26      00             26341218.6813        -16734450.65          1111878.656
2020      09      23      02      27      00             26340294.7225        -16729693.01          1111557.696
2020      09      23      02      28      00             26339370.3503        -16724935.11          1111236.719
2020      09      23      02      29      00             26338445.5646        -16720176.94          1110915.725
2020      09      23      02      30      00             26337520.3652        -16715418.51          1110594.713
2020      09      23      02      31      00             26336594.7521        -16710659.82          1110273.683
2020      09      23      02      32      00             26335668.7251        -16705900.87          1109952.636
2020      09      23      02      33      00             26334742.2841        -16701141.65          1109631.572
2020      09      23      02      34      00              26333815.429        -16696382.17           1109310.49
2020      09      23      02      35      00             26332888.1596        -16691622.43          1108989.391
2020      09      23      02      36      00              26331960.476        -16686862.42          1108668.275
2020      09      23      02      37      00             26331032.3778        -16682102.16           1108347.14
2020      09      23      02      38      00             26330103.8651        -16677341.63          1108025.989
2020      09      23      02      39      00             26329174.9377        -16672580.84           1107704.82
2020      09      23      02      40      00             26328245.5954        -16667819.78          1107383.633
2020      09      23      02      41      00             26327315.8382        -16663058.46           1107062.43
2020      09      23      02      42      00              26326385.666        -16658296.88          1106741.208
2020      09      23      02      43      00             26325455.0785        -16653535.04          1106419.969
2020      09      23      02      44      00             26324524.0758        -16648772.93          1106098.713
2020      09      23      02      45      00             26323592.6577        -16644010.56          1105777.439
2020      09      23      02      46      00              26322660.824        -16639247.93          1105456.148
2020      09      23      02      47      00             26321728.5747        -16634485.04           1105134.84
2020      09      23      02      48      00             26320795.9096        -16629721.88          1104813.513
2020      09      23      02      49      00             26319862.8286        -16624958.46           1104492.17
2020      09      23      02      50      00             26318929.3316        -16620194.78          1104170.809
2020      09      23      02      51      00             26317995.4184        -16615430.83           1103849.43
2020      09      23      02      52      00             26317061.0891        -16610666.63          1103528.035
2020      09      23      02      53      00             26316126.3433        -16605902.16          1103206.621
2020      09      23      02      54      00             26315191.1811        -16601137.42           1102885.19
2020      09      23      02      55      00             26314255.6022        -16596372.43          1102563.742
2020      09      23      02      56      00             26313319.6066        -16591607.17          1102242.276
2020      09      23      02      57      00             26312383.1942        -16586841.64          1101920.793
2020      09      23      02      58      00             26311446.3648        -16582075.86          1101599.292
2020      09      23      02      59      00             26310509.1184        -16577309.81          1101277.774
2020      09      23      03      00      00             26309571.4547         -16572543.5          1100956.239
2020      09      23      03      01      00             26308633.3737        -16567776.93          1100634.686
2020      09      23      03      02      00             26307694.8752        -16563010.09          1100313.115
2020      09      23      03      03      00             26306755.9592        -16558242.99          1099991.527
2020      09      23      03      04      00             26305816.6255        -16553475.63          1099669.922
2020      09      23      03      05      00             26304876.8741           -16548708          1099348.299
2020      09      23      03      06      00             26303936.7046        -16543940.12          1099026.658
2020      09      23      03      07      00             26302996.1172        -16539171.96              1098705
2020      09      23      03      08      00             26302055.1115        -16534403.55          1098383.325
2020      09      23      03      09      00             26301113.6876        -16529634.87          1098061.632
2020      09      23      03      10      00             26300171.8453        -16524865.93          1097739.922
2020      09      23      03      11      00             26299229.5845        -16520096.73          1097418.194
2020      09      23      03      12      00              26298286.905        -16515327.27          1097096.449
2020      09      23      03      13      00             26297343.8068        -16510557.54          1096774.686
2020      09      23      03      14      00             26296400.2897        -16505787.55          1096452.906
2020      09      23      03      15      00             26295456.3535        -16501017.29          1096131.109
2020      09      23      03      16      00             26294511.9983        -16496246.77          1095809.294
2020      09      23      03      17      00             26293567.2238        -16491475.99          1095487.461
2020      09      23      03      18      00             26292622.0299        -16486704.95          1095165.611
2020      09      23      03      19      00             26291676.4166        -16481933.64          1094843.743
2020      09      23      03      20      00             26290730.3836        -16477162.07          1094521.858
2020      09      23      03      21      00             26289783.9309        -16472390.24          1094199.956
2020      09      23      03      22      00             26288837.0584        -16467618.14          1093878.036
2020      09      23      03      23      00             26287889.7659        -16462845.78          1093556.099
2020      09      23      03      24      00             26286942.0533        -16458073.16          1093234.144
2020      09      23      03      25      00             26285993.9206        -16453300.28          1092912.171
2020      09      23      03      26      00             26285045.3674        -16448527.13          1092590.182
2020      09      23      03      27      00             26284096.3939        -16443753.72          1092268.174
2020      09      23      03      28      00             26283146.9997        -16438980.04           1091946.15
2020      09      23      03      29      00             26282197.1849         -16434206.1          1091624.107
2020      09      23      03      30      00             26281246.9492         -16429431.9          1091302.048
2020      09      23      03      31      00             26280296.2927        -16424657.44           1090979.97
2020      09      23      03      32      00              26279345.215        -16419882.71          1090657.876
2020      09      23      03      33      00             26278393.7162        -16415107.72          1090335.763
2020      09      23      03      34      00             26277441.7961        -16410332.47          1090013.634
2020      09      23      03      35      00             26276489.4546        -16405556.95          1089691.487
2020      09      23      03      36      00             26275536.6915        -16400781.17          1089369.322
2020      09      23      03      37      00             26274583.5068        -16396005.13           1089047.14
2020      09      23      03      38      00             26273629.9002        -16391228.82           1088724.94
2020      09      23      03      39      00             26272675.8718        -16386452.25          1088402.723
2020      09      23      03      40      00             26271721.4214        -16381675.42          1088080.489
2020      09      23      03      41      00             26270766.5488        -16376898.32          1087758.237
2020      09      23      03      42      00             26269811.2539        -16372120.97          1087435.967
2020      09      23      03      43      00             26268855.5367        -16367343.34           1087113.68
2020      09      23      03      44      00             26267899.3969        -16362565.46          1086791.376
2020      09      23      03      45      00             26266942.8345        -16357787.31          1086469.054
2020      09      23      03      46      00             26265985.8494         -16353008.9          1086146.714
2020      09      23      03      47      00             26265028.4413        -16348230.22          1085824.357
2020      09      23      03      48      00             26264070.6103        -16343451.28          1085501.983
2020      09      23      03      49      00             26263112.3562        -16338672.08          1085179.591
2020      09      23      03      50      00             26262153.6788        -16333892.61          1084857.182
2020      09      23      03      51      00              26261194.578        -16329112.89          1084534.755
2020      09      23      03      52      00             26260235.0538        -16324332.89           1084212.31
2020      09      23      03      53      00              26259275.106        -16319552.64          1083889.848
2020      09      23      03      54      00             26258314.7344        -16314772.12          1083567.369
2020      09      23      03      55      00              26257353.939        -16309991.34          1083244.872
2020      09      23      03      56      00             26256392.7196        -16305210.29          1082922.358
2020      09      23      03      57      00             26255431.0761        -16300428.98          1082599.826
2020      09      23      03      58      00             26254469.0083        -16295647.41          1082277.277
2020      09      23      03      59      00             26253506.5163        -16290865.58           1081954.71
2020      09      23      04      00      00             26252543.5998        -16286083.48          1081632.126
2020      09      23      04      01      00             26251580.2587        -16281301.12          1081309.524
2020      09      23      04      02      00             26250616.4929        -16276518.49          1080986.905
2020      09      23      04      03      00             26249652.3022         -16271735.6          1080664.268
2020      09      23      04      04      00             26248687.6866        -16266952.45          1080341.613
2020      09      23      04      05      00             26247722.6459        -16262169.03          1080018.942
2020      09      23      04      06      00             26246757.1801        -16257385.35          1079696.252
2020      09      23      04      07      00             26245791.2889        -16252601.41          1079373.546
2020      09      23      04      08      00             26244824.9722         -16247817.2          1079050.821
2020      09      23      04      09      00               26243858.23        -16243032.73           1078728.08
2020      09      23      04      10      00             26242891.0621           -16238248           1078405.32
2020      09      23      04      11      00             26241923.4684           -16233463          1078082.543
2020      09      23      04      12      00             26240955.4488        -16228677.74          1077759.749
2020      09      23      04      13      00             26239987.0031        -16223892.22          1077436.937
2020      09      23      04      14      00             26239018.1312        -16219106.43          1077114.108
2020      09      23      04      15      00              26238048.833        -16214320.38          1076791.261
2020      09      23      04      16      00             26237079.1084        -16209534.07          1076468.397
2020      09      23      04      17      00             26236108.9573        -16204747.49          1076145.515
2020      09      23      04      18      00             26235138.3794        -16199960.65          1075822.616
2020      09      23      04      19      00             26234167.3748        -16195173.54          1075499.699
2020      09      23      04      20      00             26233195.9433        -16190386.18          1075176.765
2020      09      23      04      21      00             26232224.0847        -16185598.54          1074853.813
2020      09      23      04      22      00             26231251.7989        -16180810.65          1074530.844
2020      09      23      04      23      00             26230279.0859        -16176022.49          1074207.857
2020      09      23      04      24      00             26229305.9454        -16171234.07          1073884.853
2020      09      23      04      25      00             26228332.3774        -16166445.38          1073561.831
2020      09      23      04      26      00             26227358.3818        -16161656.43          1073238.792
2020      09      23      04      27      00             26226383.9583        -16156867.22          1072915.735
2020      09      23      04      28      00              26225409.107        -16152077.74          1072592.661
2020      09      23      04      29      00             26224433.8276           -16147288          1072269.569
2020      09      23      04      30      00               26223458.12           -16142498           1071946.46
2020      09      23      04      31      00             26222481.9842        -16137707.73          1071623.333
2020      09      23      04      32      00               26221505.42         -16132917.2          1071300.189
2020      09      23      04      33      00             26220528.4273         -16128126.4          1070977.027
2020      09      23      04      34      00             26219551.0059        -16123335.34          1070653.847
2020      09      23      04      35      00             26218573.1557        -16118544.02          1070330.651
2020      09      23      04      36      00             26217594.8766        -16113752.43          1070007.436
2020      09      23      04      37      00             26216616.1685        -16108960.58          1069684.204
2020      09      23      04      38      00             26215637.0313        -16104168.47          1069360.955
2020      09      23      04      39      00             26214657.4648        -16099376.09          1069037.688
2020      09      23      04      40      00             26213677.4689        -16094583.45          1068714.404
2020      09      23      04      41      00             26212697.0435        -16089790.55          1068391.102
2020      09      23      04      42      00             26211716.1884        -16084997.38          1068067.782
2020      09      23      04      43      00             26210734.9036        -16080203.95          1067744.445
2020      09      23      04      44      00             26209753.1888        -16075410.25          1067421.091
2020      09      23      04      45      00             26208771.0441        -16070616.29          1067097.719
2020      09      23      04      46      00             26207788.4692        -16065822.07          1066774.329
2020      09      23      04      47      00             26206805.4641        -16061027.58          1066450.922
2020      09      23      04      48      00             26205822.0285        -16056232.83          1066127.498
2020      09      23      04      49      00             26204838.1625        -16051437.82          1065804.056
2020      09      23      04      50      00             26203853.8658        -16046642.54          1065480.596
2020      09      23      04      51      00             26202869.1383        -16041846.99          1065157.119
2020      09      23      04      52      00               26201883.98        -16037051.19          1064833.625
2020      09      23      04      53      00             26200898.3906        -16032255.12          1064510.113
2020      09      23      04      54      00             26199912.3701        -16027458.78          1064186.583
2020      09      23      04      55      00             26198925.9183        -16022662.19          1063863.036
2020      09      23      04      56      00             26197939.0352        -16017865.33          1063539.471
2020      09      23      04      57      00             26196951.7205         -16013068.2          1063215.889
2020      09      23      04      58      00             26195963.9742        -16008270.81           1062892.29
2020      09      23      04      59      00             26194975.7961        -16003473.16          1062568.672
2020      09      23      05      00      00             26193987.1862        -15998675.24          1062245.038
2020      09      23      05      01      00             26192998.1442        -15993877.06          1061921.385
2020      09      23      05      02      00             26192008.6701        -15989078.62          1061597.716
2020      09      23      05      03      00             26191018.7637        -15984279.91          1061274.028
2020      09      23      05      04      00             26190028.4249        -15979480.94          1060950.324
2020      09      23      05      05      00             26189037.6536         -15974681.7          1060626.601
2020      09      23      05      06      00             26188046.4497         -15969882.2          1060302.861
2020      09      23      05      07      00              26187054.813        -15965082.44          1059979.104
2020      09      23      05      08      00             26186062.7434        -15960282.41          1059655.329
2020      09      23      05      09      00             26185070.2408        -15955482.12          1059331.537
2020      09      23      05      10      00             26184077.3051        -15950681.56          1059007.727
2020      09      23      05      11      00             26183083.9361        -15945880.74          1058683.899
2020      09      23      05      12      00             26182090.1337        -15941079.66          1058360.055
2020      09      23      05      13      00             26181095.8977        -15936278.31          1058036.192
2020      09      23      05      14      00             26180101.2281         -15931476.7          1057712.312
2020      09      23      05      15      00             26179106.1248        -15926674.82          1057388.414
2020      09      23      05      16      00             26178110.5875        -15921872.68          1057064.499
2020      09      23      05      17      00             26177114.6163        -15917070.28          1056740.567
2020      09      23      05      18      00             26176118.2109        -15912267.61          1056416.617
2020      09      23      05      19      00             26175121.3712        -15907464.68          1056092.649
2020      09      23      05      20      00              26174124.097        -15902661.49          1055768.664
2020      09      23      05      21      00             26173126.3884        -15897858.03          1055444.661
2020      09      23      05      22      00             26172128.2451         -15893054.3          1055120.641
2020      09      23      05      23      00             26171129.6671        -15888250.32          1054796.603
2020      09      23      05      24      00             26170130.6541        -15883446.07          1054472.548
2020      09      23      05      25      00             26169131.2061        -15878641.55          1054148.475
2020      09      23      05      26      00             26168131.3229        -15873836.77          1053824.385
2020      09      23      05      27      00             26167131.0045        -15869031.73          1053500.277
2020      09      23      05      28      00             26166130.2506        -15864226.42          1053176.151
2020      09      23      05      29      00             26165129.0612        -15859420.85          1052852.009
2020      09      23      05      30      00             26164127.4361        -15854615.01          1052527.848
